Phi,d50_um,sigma,SP_percent,phi_max,m1_Pa,Tau0_Pa
0.4717,16.27,1.805,0.995,0.8728,0.6821,0.2044
0.487,17.17,1.716,1.086,0.9251,0.665,0.1896
0.4936,14.829,1.8928,0.628,0.7028,0.7108,0.5818
0.4736,15.142,1.5234,0.806,0.7921,0.7856,0.3309
0.5096,17.103,1.5805,1.01,0.8911,0.7423,0.2891
0.4588,16.296,1.892,1.045,0.8993,0.6646,0.162
0.4889,14.786,1.8849,0.479,0.6654,0.7533,0.7493
0.4709,16.271,1.7878,0.883,0.8216,0.8083,0.2929
0.4511,15.37,1.7217,1.036,0.8752,0.7441,0.1841
0.4876,17.439,1.7891,1.045,0.8737,0.7192,0.2471
0.4571,18.449,1.7801,0.975,0.8797,0.7443,0.1912
0.507,16.583,1.8035,0.786,0.7829,0.745,0.4495
0.4965,16.816,1.5649,0.566,0.6818,0.7697,0.746
0.4908,17.486,1.5774,0.393,0.5956,0.698,1.3217
0.4668,14.002,1.7385,1.079,0.8958,0.7833,0.2074
0.4922,17.98,1.7439,1.057,0.8925,0.71,0.2369
0.4936,15.168,1.6054,0.351,0.6098,0.6411,1.0884
0.4509,14.622,1.6655,0.634,0.7121,0.6048,0.2981
0.4983,17.833,1.7335,0.93,0.8515,0.6166,0.2536
0.4713,14.21,1.5071,0.565,0.6804,0.6584,0.4844
0.4951,18.709,1.7674,0.403,0.6019,0.6887,1.2999
0.5002,17.048,1.7799,0.477,0.6313,0.7948,1.203
0.5017,16.09,1.7262,0.812,0.7739,0.7738,0.4638
0.4964,16.73,1.5856,0.6,0.7178,0.6686,0.5146
0.4503,14.481,1.6698,0.911,0.8613,0.6349,0.1638
0.4916,18.554,1.5698,0.354,0.5931,0.6494,1.2814
0.4882,14.542,1.8504,0.951,0.8569,0.6904,0.2544
0.5071,14.248,1.6028,0.903,0.8424,0.8202,0.3787
0.4704,15.113,1.8999,0.86,0.7968,0.8323,0.3331
0.4559,15.102,1.5658,0.817,0.797,0.7945,0.277
0.4815,15.228,1.5437,0.955,0.8525,0.7606,0.2684
0.499,15.687,1.8483,1.048,0.8792,0.7125,0.265
0.4626,14.183,1.6888,1.024,0.8746,0.6477,0.1779
0.4673,16.882,1.8168,0.415,0.6388,0.6945,0.6474
0.5017,15.723,1.5246,0.402,0.6236,0.6432,1.0676
0.4951,18.691,1.6102,1.056,0.9142,0.6909,0.2188
0.4626,17.384,1.8314,1.068,0.8831,0.8495,0.2265
0.4716,15.754,1.645,0.968,0.8824,0.7193,0.208
0.477,15.35,1.5827,0.367,0.6064,0.7035,0.9733
0.4679,14.612,1.754,0.59,0.6856,0.7958,0.5459
0.4956,15.14,1.5046,0.462,0.6462,0.6634,0.8301
0.4996,15.725,1.512,0.744,0.7798,0.6586,0.3759
0.459,15.879,1.6578,0.594,0.7111,0.719,0.3878
0.4817,18.34,1.8313,0.7,0.7305,0.7624,0.4687
0.4702,18.51,1.6589,0.508,0.6563,0.6447,0.5488
0.4544,18.628,1.6503,0.424,0.6234,0.6763,0.6019
0.4534,18.983,1.7222,0.999,0.8959,0.8499,0.1998
0.4757,15.472,1.654,1.075,0.9384,0.8133,0.2016
0.4675,17.222,1.803,0.629,0.7288,0.749,0.4018
0.4629,18.75,1.8223,0.842,0.805,0.8091,0.2915
0.485,14.767,1.7345,0.651,0.7246,0.8368,0.5498
0.4811,18.018,1.8271,0.405,0.6228,0.6633,0.8373
0.4904,14.683,1.5915,0.385,0.6119,0.7908,1.2539
0.4593,15.932,1.6681,0.617,0.72,0.74,0.3821
0.4511,16.24,1.8405,0.892,0.8492,0.6998,0.19
0.5079,16.246,1.7283,0.361,0.5982,0.6833,1.658
0.4991,15.702,1.6906,0.791,0.7762,0.6509,0.3761
0.4937,15.232,1.8276,0.722,0.7661,0.7087,0.4087
0.4853,18.13,1.7526,0.615,0.7233,0.7387,0.4903
0.4997,16.081,1.6925,0.9,0.8496,0.6028,0.2529
0.4598,15.326,1.8616,0.959,0.8804,0.8286,0.2175
0.5093,15.816,1.8379,1.062,0.8842,0.8334,0.3322
0.4947,16.127,1.8022,0.7,0.7359,0.6498,0.4431
0.5009,17.23,1.8892,0.626,0.7192,0.7259,0.5808
0.4531,18.08,1.821,0.864,0.8171,0.6487,0.203
0.4903,17.627,1.545,0.873,0.8172,0.8198,0.3615
0.46,17.638,1.869,0.635,0.7244,0.8425,0.4281
0.4993,15.019,1.7093,0.635,0.7314,0.8411,0.6168
0.4969,17.441,1.5085,0.617,0.7144,0.8083,0.6381
0.4838,16.905,1.8963,0.818,0.8176,0.7467,0.3098
0.464,16.521,1.6291,0.719,0.7477,0.6454,0.3038
0.4586,16.277,1.7072,0.356,0.5797,0.7467,1.0268
0.4689,16.788,1.7307,0.972,0.8729,0.6973,0.2038
0.4524,18.229,1.6385,0.442,0.6233,0.7005,0.6093
0.4587,14.578,1.8785,0.375,0.604,0.8386,0.9231
0.4661,14.652,1.8184,0.952,0.8355,0.848,0.2783
0.452,16.546,1.7129,0.418,0.6072,0.6837,0.6701
0.4855,18.014,1.5019,0.649,0.7063,0.6838,0.5017
0.4987,15.3,1.6381,0.827,0.7985,0.7685,0.3981
0.4556,18.395,1.7287,1.032,0.9033,0.8073,0.1889
0.5076,15.682,1.5938,0.87,0.8376,0.6994,0.331
0.4534,18.531,1.5998,0.562,0.6773,0.6617,0.4068
0.4992,17.513,1.8824,0.62,0.7145,0.7693,0.622
0.4571,14.233,1.782,1.069,0.8879,0.6578,0.1642
0.4759,14.748,1.5415,0.39,0.6124,0.7262,0.9364
0.4588,14.03,1.6935,0.573,0.6753,0.8277,0.547
0.4916,16.717,1.5291,0.362,0.5947,0.6879,1.3333
0.4874,17.196,1.5943,0.617,0.7238,0.6584,0.4454
0.4686,17.835,1.8768,1.025,0.9011,0.8465,0.2235
0.4842,14.635,1.5415,0.658,0.716,0.7863,0.5376
0.4664,17.671,1.5416,1.006,0.8969,0.6905,0.1814
0.498,15.334,1.7024,0.531,0.6563,0.6792,0.8076
0.4969,17.399,1.8244,0.464,0.6497,0.8294,1.0247
0.4672,14.007,1.6798,0.768,0.769,0.6216,0.2733
0.4701,15.365,1.7072,0.37,0.5854,0.8079,1.2425
0.4764,16.104,1.8846,0.722,0.7534,0.7697,0.3986
0.4696,18.982,1.6473,0.462,0.6356,0.8192,0.804
0.4524,16.836,1.7214,0.361,0.5851,0.7623,0.9086
0.4693,14.516,1.8772,0.539,0.6786,0.806,0.5861
0.4888,16.527,1.7591,0.759,0.7531,0.7864,0.4613
0.5024,17.461,1.8397,0.899,0.851,0.7647,0.3268
0.4503,17.856,1.5296,0.962,0.8738,0.7823,0.1931
0.5017,16.07,1.6015,0.966,0.8455,0.8121,0.3526
0.5017,14.185,1.7385,0.983,0.8632,0.8072,0.3267
0.4939,16.701,1.8379,0.968,0.8477,0.8082,0.3246
0.4714,17.32,1.6353,0.473,0.6484,0.8076,0.7374
0.4712,18.113,1.6695,0.528,0.6835,0.6687,0.4822
0.4906,14.956,1.663,0.567,0.6928,0.6165,0.52
0.4742,16.692,1.726,0.516,0.6676,0.7372,0.6093
0.508,17.439,1.6094,0.683,0.7324,0.7315,0.5835
0.4549,18.886,1.8175,1.094,0.901,0.8471,0.1983
0.4526,18.096,1.8537,0.825,0.8247,0.7504,0.2267
0.4942,18.603,1.5048,0.378,0.6052,0.6841,1.2297
0.4886,18.009,1.6738,0.888,0.8546,0.6943,0.2588
0.4604,17.818,1.5388,0.606,0.7026,0.6872,0.3941
0.4943,14.704,1.5706,0.689,0.731,0.7131,0.4976
0.5012,16.719,1.778,0.724,0.7631,0.6568,0.4137
0.5044,14.747,1.6877,0.713,0.7521,0.7416,0.511
0.5081,15.877,1.8215,0.4,0.6214,0.6185,1.1516
0.4769,15.958,1.665,0.892,0.8516,0.7483,0.2544
0.506,18.545,1.7552,0.804,0.8012,0.7004,0.3835
0.4637,16.533,1.8866,0.441,0.6289,0.6639,0.6372
0.4906,14.171,1.699,0.934,0.8321,0.7502,0.3119
0.4688,18.539,1.7028,0.531,0.6622,0.7062,0.5684
0.4799,16.903,1.7529,0.664,0.7505,0.6906,0.3759
0.5084,17.051,1.5616,0.465,0.6356,0.7476,1.2148
0.4714,15.539,1.8655,0.615,0.7248,0.7973,0.4549
0.4946,18.938,1.516,0.669,0.7276,0.6928,0.4942
0.473,18.102,1.8305,0.512,0.6631,0.6121,0.5138
0.4858,15.725,1.5219,1.097,0.9164,0.8302,0.2411
0.4577,18.54,1.5943,1.098,0.9067,0.7811,0.1839
0.4757,14.529,1.7025,0.471,0.6549,0.7897,0.7242
0.4848,16.444,1.6607,0.454,0.6378,0.7566,0.8838
0.4553,18.992,1.8732,0.515,0.6707,0.7839,0.5121
0.4966,18.299,1.7801,0.819,0.7962,0.6635,0.3407
0.4525,14.356,1.5048,0.414,0.6301,0.618,0.5119
0.4589,16.904,1.7858,0.91,0.8155,0.6421,0.2134
0.4702,14.184,1.5879,0.458,0.6314,0.8264,0.8441
0.5045,18.928,1.5968,0.53,0.6587,0.7224,0.913
0.5017,15.839,1.6663,0.991,0.8508,0.7524,0.32
0.4831,15.727,1.8212,0.796,0.8081,0.7442,0.3197
0.5009,18.234,1.8328,0.72,0.7554,0.7226,0.4723
0.5023,15.676,1.7974,0.372,0.6155,0.6322,1.1507
0.4679,14.241,1.644,0.429,0.6394,0.761,0.7108
0.5057,15.058,1.8983,1.047,0.8921,0.7319,0.2746
0.4848,15.177,1.6977,0.475,0.6572,0.644,0.6475
0.5076,16.834,1.8729,0.383,0.5957,0.6035,1.505
0.4541,17.427,1.633,0.938,0.8417,0.7082,0.2033
0.495,14.469,1.6945,0.464,0.6426,0.6878,0.88
0.5024,18.556,1.8283,0.619,0.6931,0.8114,0.7791
0.4963,18.674,1.834,0.379,0.5957,0.7342,1.5155
0.4671,17.394,1.5924,0.497,0.6392,0.6606,0.6122
0.4869,14.374,1.5425,0.527,0.6714,0.7073,0.6586
0.4759,15.461,1.6465,0.568,0.6947,0.6349,0.4502
0.4634,16.77,1.8723,1.042,0.8944,0.8464,0.2185
0.5065,14.249,1.6074,0.739,0.7583,0.6585,0.4482
0.5066,17.787,1.5647,1.07,0.912,0.8443,0.2969
0.4853,16.9,1.7246,0.711,0.7591,0.6162,0.3388
0.4865,18.828,1.8234,0.478,0.6333,0.8372,1.0363
0.4637,14.998,1.7721,1.097,0.9462,0.7626,0.1665
0.47,18.566,1.8191,0.852,0.801,0.7477,0.2927
0.5013,15.939,1.8214,1.012,0.8835,0.6189,0.2309
0.4608,18.272,1.6969,0.528,0.6914,0.6452,0.3959
0.4617,17.227,1.5708,0.892,0.8215,0.6061,0.2019
0.4863,17.46,1.5825,0.438,0.6265,0.6357,0.8328
0.5021,17.448,1.7706,0.778,0.7603,0.8327,0.5373
0.4843,18.34,1.7332,0.998,0.8599,0.7423,0.261
0.4559,15.097,1.6857,0.745,0.7474,0.6276,0.2729
0.4634,15.319,1.5048,0.491,0.6532,0.7646,0.6134
0.4515,17.306,1.5176,0.638,0.7051,0.7776,0.4001
0.4611,16.189,1.6107,0.414,0.6197,0.7646,0.7633
0.505,17.563,1.7752,0.566,0.676,0.7629,0.8494
0.4518,17.025,1.7456,0.675,0.7274,0.8175,0.376
0.4644,17.783,1.6238,0.737,0.7673,0.6554,0.2825
0.4684,18.869,1.7177,0.38,0.6105,0.6994,0.8283
0.4654,18.029,1.5317,0.493,0.6635,0.6001,0.46
0.4596,17.632,1.8967,0.696,0.7243,0.6617,0.335
0.4562,14.591,1.5,0.652,0.7367,0.795,0.3654
0.4523,16.425,1.6222,0.844,0.8004,0.8179,0.2717
0.4553,16.036,1.5264,0.716,0.7358,0.7019,0.321
0.4775,17.885,1.8449,0.894,0.837,0.7668,0.2775
0.5015,17.574,1.7912,0.859,0.8078,0.7404,0.3774
0.4768,17.31,1.8005,0.726,0.748,0.7177,0.3836
0.483,17.019,1.6973,0.963,0.8874,0.7982,0.2507
0.5002,14.783,1.8899,0.512,0.65,0.8129,1.0449
0.4874,17.579,1.8636,0.824,0.8136,0.6329,0.276
0.4727,18.65,1.718,0.577,0.6922,0.8045,0.5594
0.497,17.274,1.5914,0.69,0.7566,0.8097,0.5062
0.459,16.453,1.8395,0.728,0.7739,0.7104,0.2819
0.5015,14.516,1.861,0.672,0.7466,0.7886,0.5435
0.4671,14.257,1.6115,0.378,0.6102,0.7257,0.8471
0.474,18.309,1.8784,0.77,0.7626,0.6455,0.3125
0.4599,16.575,1.5645,0.351,0.6025,0.7831,0.8871
0.4714,15.911,1.5529,0.461,0.6467,0.8036,0.742
0.4582,17.818,1.6033,0.73,0.7442,0.7192,0.3251
0.4868,14.226,1.5105,0.664,0.751,0.8165,0.4747
0.4853,16.459,1.7262,0.778,0.7816,0.7375,0.3639
0.4672,16.995,1.5356,0.738,0.7537,0.6525,0.308
0.4918,18.259,1.7097,0.73,0.7394,0.8312,0.5403
0.4974,16.369,1.6658,0.842,0.8158,0.7029,0.3329
0.4728,17.418,1.5079,1.003,0.8901,0.6854,0.195
0.4819,16.89,1.8832,0.578,0.6896,0.6449,0.504
0.4605,15.396,1.7572,0.992,0.862,0.8093,0.2283
0.4529,16.277,1.7792,0.514,0.6746,0.7957,0.4939
0.4865,14.641,1.6061,0.465,0.6333,0.7554,0.9351
0.4946,14.774,1.6205,0.892,0.8145,0.809,0.3757
0.4856,14.11,1.8211,0.508,0.6481,0.8425,0.9164
0.5044,16.059,1.791,0.775,0.7742,0.6953,0.4269
0.4967,17.407,1.5254,0.806,0.8173,0.6934,0.3243
0.4973,18.467,1.5777,0.881,0.8154,0.8155,0.3867
0.455,16.463,1.6768,0.508,0.6737,0.6128,0.3918
0.4892,17.942,1.766,1.054,0.9238,0.7915,0.2308
0.4948,15.429,1.8474,0.788,0.8083,0.6937,0.3315
0.488,15.604,1.5746,0.752,0.7519,0.8088,0.4739
0.5075,18.98,1.572,0.423,0.608,0.6403,1.3693
0.4878,16.213,1.7597,0.536,0.6843,0.7069,0.6103
0.4531,17.38,1.6428,1.061,0.9148,0.8192,0.1805
0.4714,14.23,1.5163,0.918,0.8195,0.629,0.2309
0.5005,18.118,1.6538,0.516,0.6622,0.8021,0.9383
0.4659,15.477,1.8077,0.366,0.5858,0.842,1.2118
0.4997,14.622,1.8501,0.938,0.8411,0.8352,0.3629
0.4504,16.012,1.8538,0.509,0.6706,0.7028,0.4349
0.4521,15.559,1.708,1.032,0.8811,0.7656,0.1871
0.5033,15.885,1.6573,0.499,0.6512,0.6722,0.8898
0.5021,17.623,1.6246,1.011,0.8769,0.6208,0.2391
0.4708,18.817,1.7241,1.025,0.8654,0.7659,0.2342
0.4725,16.328,1.7171,0.42,0.6279,0.609,0.6584
0.4576,16.361,1.7215,0.968,0.8611,0.8477,0.2338
0.482,14.1,1.6288,0.532,0.6647,0.6943,0.64
0.4672,17.99,1.6584,0.945,0.8596,0.7586,0.2294
0.4928,16.641,1.5507,1.043,0.9001,0.6293,0.2055
0.4883,16.444,1.7667,1.001,0.878,0.7289,0.2481
0.4585,16.798,1.5039,0.724,0.764,0.7756,0.3204
0.5062,15.912,1.8738,0.97,0.8848,0.7423,0.2874
0.4906,16.558,1.8674,0.654,0.7465,0.6223,0.3845
0.4776,17.773,1.5994,1.092,0.9191,0.8467,0.2274
0.4782,15.612,1.7442,0.89,0.8332,0.6989,0.2583
0.4709,16.477,1.6711,0.484,0.6589,0.7161,0.6037
0.5047,14.027,1.8939,1.02,0.8968,0.7681,0.2809
0.4813,16.922,1.7153,0.401,0.6118,0.8302,1.1589
0.4602,16.154,1.5995,0.74,0.758,0.8072,0.3484
0.4564,17.291,1.528,0.616,0.7074,0.769,0.4115
0.5086,15.986,1.7285,0.543,0.677,0.6075,0.7009
0.4562,14.969,1.8435,0.645,0.7259,0.7258,0.3518
0.4711,15.796,1.7322,0.652,0.7059,0.8037,0.5072
0.4978,15.091,1.8496,0.481,0.6585,0.6551,0.763
0.481,17.659,1.7837,0.465,0.6611,0.7894,0.7378
0.4857,14.318,1.7207,0.754,0.7936,0.7211,0.3381
0.4771,16.803,1.538,0.993,0.9001,0.684,0.1951
0.4733,18.707,1.6544,0.832,0.8043,0.7364,0.2933
0.505,14.006,1.5481,0.879,0.8353,0.6986,0.326
0.4831,14.67,1.5115,0.771,0.7967,0.7009,0.3163
0.4701,16.86,1.8222,0.646,0.7255,0.6403,0.3589
0.4708,14.663,1.8448,1.082,0.9237,0.8056,0.2009
0.4833,18.322,1.6237,0.746,0.7753,0.6583,0.3284
0.456,16.252,1.7995,0.53,0.6587,0.687,0.4881
0.5029,17.181,1.5659,0.596,0.686,0.8175,0.8275
0.4803,15.782,1.7991,0.999,0.866,0.6196,0.2055
0.5002,17.844,1.5248,0.53,0.6608,0.7262,0.8568
0.4749,15.223,1.7985,0.801,0.8023,0.8376,0.3417
0.4714,14.509,1.5611,1.09,0.9254,0.6593,0.1643
0.5011,18.681,1.7784,0.588,0.6847,0.7392,0.7395
0.457,14.696,1.8176,1.055,0.9111,0.6837,0.1578
0.4752,18.92,1.6637,0.829,0.7998,0.6686,0.2763
0.4515,16.045,1.5693,1.072,0.9301,0.774,0.1601
0.4652,18.181,1.8286,0.357,0.6053,0.7339,0.8712
0.5043,18.753,1.7294,0.418,0.6174,0.8375,1.5395
0.4916,15.333,1.7864,0.92,0.8625,0.8432,0.3132
0.4933,17.055,1.8281,0.416,0.636,0.7831,1.0354
0.4968,18.419,1.8711,0.613,0.6907,0.8423,0.7708
0.47,15.732,1.6388,0.649,0.727,0.83,0.4612
0.4931,15.972,1.8468,0.629,0.6992,0.7145,0.5941
0.45,14.341,1.5748,0.581,0.6848,0.6584,0.3733
0.4804,18.661,1.7261,0.809,0.7728,0.818,0.4012
0.4878,16.922,1.8605,0.872,0.8214,0.7569,0.3206
0.5024,18.115,1.5924,1.098,0.9059,0.8106,0.2813
0.4701,16.463,1.866,0.872,0.8333,0.776,0.2663
0.48,16.663,1.5462,0.659,0.7462,0.7579,0.422
0.4958,18.639,1.6331,0.92,0.8642,0.7823,0.2994
0.5071,14.647,1.6503,0.75,0.776,0.7357,0.46
0.498,15.805,1.5366,0.871,0.812,0.7476,0.362
0.4733,15.136,1.5293,0.687,0.7304,0.6933,0.3915
0.4721,15.338,1.8342,0.394,0.5989,0.729,1.0098
0.4698,15.129,1.7449,0.454,0.6357,0.845,0.8301
0.4874,18.544,1.8042,0.448,0.63,0.6504,0.8381
0.4615,15.604,1.8856,0.64,0.7208,0.6887,0.3622
0.4796,14.379,1.5516,0.597,0.7081,0.66,0.4498
0.4556,18.434,1.7683,0.479,0.6319,0.7484,0.6352
0.486,15.185,1.5388,0.896,0.8252,0.6983,0.2863
0.4551,18.202,1.7805,0.439,0.6229,0.725,0.6537
0.4877,14.305,1.6108,0.411,0.6349,0.8302,1.0301
0.45,17.535,1.5251,0.733,0.7419,0.669,0.2815
0.4988,15.881,1.5334,1.06,0.933,0.7883,0.2414
0.5026,16.132,1.7425,1.001,0.8778,0.6038,0.2329
0.4718,14.879,1.7388,0.513,0.6723,0.8427,0.6566
0.4655,18.339,1.783,0.698,0.7307,0.8319,0.433
0.4783,15.921,1.6729,0.648,0.7171,0.7128,0.4554
0.4606,17.68,1.5609,0.371,0.6182,0.6021,0.6039
0.4962,14.691,1.8865,0.697,0.7562,0.784,0.4873
0.4643,16.053,1.5839,0.919,0.8573,0.6781,0.2015
0.4734,15.195,1.6125,0.899,0.845,0.653,0.2205
0.4882,17.019,1.7746,0.388,0.602,0.6149,1.0442
0.4624,16.656,1.8746,0.434,0.6222,0.6143,0.6103
0.4564,14.726,1.6265,0.985,0.8856,0.6529,0.1634
0.4636,14.338,1.8201,0.616,0.6928,0.7298,0.458
0.482,14.352,1.6113,1.01,0.8794,0.7205,0.2309
0.4702,15.612,1.8239,0.451,0.6216,0.8475,0.9358
0.5062,16.418,1.7004,0.364,0.5979,0.6054,1.4323
0.4896,16.338,1.7478,0.783,0.8019,0.6724,0.315
0.4862,15.899,1.8453,0.851,0.8203,0.7159,0.3002
0.4898,16.627,1.7766,0.67,0.7519,0.8113,0.4839
0.4829,15.289,1.8007,0.69,0.7603,0.625,0.3336
0.471,18.521,1.6393,0.792,0.7836,0.7094,0.3027
0.5032,14.808,1.8594,0.935,0.8586,0.621,0.2594
0.4964,15.544,1.7635,0.604,0.6907,0.8145,0.7419
0.4606,14.161,1.7575,0.805,0.7933,0.8164,0.3022
0.4796,14.05,1.6856,0.653,0.7288,0.7488,0.4548
0.4586,14.403,1.8758,0.464,0.6414,0.7489,0.6162
0.4668,18.07,1.7424,0.768,0.7875,0.6336,0.2553
0.4695,14.724,1.8245,0.887,0.8122,0.6728,0.2501
0.4725,14.78,1.5624,1.063,0.9204,0.7497,0.1918
0.5053,16.064,1.8439,1.084,0.89,0.7557,0.2847
0.4577,18.348,1.8056,0.753,0.7914,0.6771,0.246
0.4911,15.603,1.5713,0.994,0.8558,0.8162,0.3099
0.5091,17.522,1.6815,1.059,0.8896,0.8188,0.3191
0.4666,16.918,1.5311,0.491,0.6547,0.6883,0.5683
0.506,14.004,1.8241,0.757,0.7743,0.6353,0.3963
0.4991,15.47,1.5841,0.38,0.6215,0.848,1.3866
0.4912,16.852,1.8026,0.363,0.5897,0.6174,1.2589
0.4653,18.134,1.7251,0.623,0.729,0.6487,0.34
0.5014,18.725,1.773,0.923,0.8284,0.7726,0.3596
0.4686,14.821,1.5947,0.813,0.7992,0.6546,0.2549
0.5063,14.468,1.8072,0.747,0.7742,0.7206,0.4508
0.4567,18.496,1.7495,0.568,0.6948,0.8011,0.4614
0.4574,14.857,1.767,1.085,0.9116,0.6569,0.1518
0.4674,15.57,1.8554,1.025,0.8705,0.839,0.244
0.5075,18.093,1.6465,1.001,0.854,0.6951,0.3069
0.4515,16.144,1.7609,0.786,0.7882,0.6548,0.227
0.5088,16.255,1.5403,0.551,0.6637,0.7763,0.9941
0.4871,14.183,1.601,0.627,0.7141,0.7869,0.5609
0.4677,17.309,1.7535,0.351,0.5862,0.6545,0.9643
0.462,14.791,1.6823,0.66,0.7176,0.8191,0.4406
0.4714,16.728,1.5816,0.826,0.7883,0.7873,0.3301
0.4557,18.224,1.5093,0.862,0.7983,0.6797,0.2351
0.486,16.278,1.6928,0.876,0.8146,0.7577,0.325
0.4603,14.59,1.762,0.747,0.7592,0.7572,0.3255
0.4543,18.341,1.7909,0.373,0.5953,0.7157,0.7995
0.4724,14.127,1.5625,0.553,0.6892,0.7022,0.4953
0.4719,18.631,1.5036,0.981,0.8746,0.8254,0.2463
0.4547,16.914,1.8982,0.53,0.6849,0.6087,0.363
0.4771,16.687,1.509,0.668,0.7189,0.7066,0.4416
0.5045,17.14,1.6101,0.936,0.8273,0.6818,0.3279
0.4742,15.575,1.7095,0.877,0.8286,0.8132,0.2953
0.4834,16.857,1.5267,0.846,0.8168,0.7841,0.3253
0.4988,17.499,1.5985,0.72,0.7435,0.7843,0.5352
0.5017,16.567,1.7602,0.774,0.7647,0.7727,0.485
0.4859,14.226,1.6301,1.041,0.876,0.649,0.2178
0.5078,17.87,1.8092,0.739,0.7734,0.678,0.4321
0.4851,15.697,1.7024,1.077,0.9072,0.6155,0.1835
0.4687,16.068,1.5488,0.808,0.8057,0.6682,0.2533
0.4524,16.339,1.7424,0.366,0.6111,0.6336,0.6046
0.4569,14.605,1.6676,0.638,0.7188,0.6923,0.3507
0.4827,15.068,1.6645,0.444,0.6274,0.6597,0.8168
0.4876,15.287,1.5543,0.406,0.6045,0.6123,1.0045
0.4825,18.825,1.6042,0.418,0.6308,0.7813,0.9382
0.4986,14.812,1.858,0.752,0.7608,0.6154,0.3824
0.4588,14.671,1.8832,0.356,0.6013,0.7119,0.803
0.4647,18.856,1.6752,0.686,0.734,0.7861,0.3992
0.495,15.549,1.8885,0.732,0.7442,0.8146,0.5328
0.4645,15.398,1.5766,0.506,0.6528,0.8015,0.6533
0.5091,14.535,1.8123,0.865,0.808,0.7996,0.4371
0.5044,16.744,1.6151,0.359,0.6043,0.613,1.3029
0.4544,18.963,1.5963,0.56,0.6804,0.7956,0.4852
0.4782,17.657,1.8957,0.586,0.7062,0.8066,0.5481
0.5022,15.631,1.8025,0.485,0.6712,0.6547,0.7309
0.5076,14.926,1.7165,0.387,0.5954,0.611,1.5292
0.4735,17.082,1.7228,0.526,0.66,0.84,0.7242
0.4652,16.282,1.5683,0.655,0.7231,0.7987,0.431
0.4909,14.642,1.7314,0.586,0.6827,0.7581,0.6853
0.5011,15.41,1.7123,0.761,0.7609,0.6793,0.4326
0.4651,14.428,1.5734,1.086,0.924,0.7984,0.1894
0.4802,18.28,1.6739,0.412,0.6258,0.6851,0.8321
0.4973,17.487,1.7571,0.573,0.677,0.6364,0.6435
0.5042,18.462,1.5741,0.989,0.8841,0.7483,0.2856
0.4956,15.805,1.6634,0.465,0.6312,0.667,0.9487
0.4826,14.846,1.5505,0.723,0.7414,0.724,0.4241
0.4926,16.296,1.6431,0.586,0.6965,0.8054,0.6779
0.4663,15.711,1.8926,0.962,0.857,0.6221,0.1884
0.4583,17.316,1.7381,1.087,0.9045,0.6183,0.1475
0.4546,16.054,1.6959,0.353,0.6015,0.7605,0.8088
0.4798,17.864,1.8213,0.442,0.6309,0.6877,0.7965
0.5006,14.87,1.6445,0.684,0.7504,0.783,0.5238
0.494,16.046,1.7177,0.658,0.7233,0.7018,0.5103
0.4808,16.635,1.5153,0.972,0.8647,0.7427,0.2488
0.4789,18.808,1.7046,0.813,0.7932,0.6496,0.2862
0.4777,15.517,1.8456,0.643,0.7385,0.8323,0.4713
0.4533,14.393,1.7242,0.78,0.8005,0.7203,0.2415
0.4514,15.426,1.5957,0.435,0.6354,0.8051,0.6331
0.5041,16.372,1.6567,0.975,0.872,0.754,0.3011
0.4867,15.49,1.514,0.475,0.6501,0.7475,0.8118
0.4683,14.981,1.776,0.486,0.6377,0.7785,0.7398
0.4701,16.545,1.6811,0.811,0.8174,0.8405,0.3077
0.4817,18.847,1.7092,1.095,0.8965,0.7385,0.2219
0.4851,15.325,1.6795,0.79,0.7851,0.809,0.3923
0.4566,14.127,1.776,1.013,0.8773,0.771,0.1989
0.452,14.362,1.8817,0.625,0.7037,0.7118,0.371
0.4738,17.356,1.6083,0.467,0.6548,0.6901,0.6195
0.4937,18.52,1.5063,0.35,0.6102,0.8036,1.3604
0.4604,17.175,1.5181,0.675,0.7327,0.754,0.3688
0.4918,16.881,1.7427,1.042,0.9096,0.6381,0.1997
0.5049,18.547,1.5774,0.475,0.6343,0.6214,0.9738
0.4897,14.626,1.7622,0.886,0.8185,0.6789,0.2963
0.4922,15.598,1.567,0.517,0.6579,0.728,0.7961
0.4957,18.242,1.6453,0.959,0.8537,0.7084,0.2824
0.4625,18.742,1.837,0.728,0.7624,0.6709,0.2902
0.4534,17.357,1.7529,0.63,0.7365,0.7604,0.3399
0.4629,18.963,1.7718,0.406,0.633,0.8119,0.7476
0.4778,14.527,1.7627,1.032,0.8961,0.7245,0.2109
0.4665,18.538,1.7856,0.646,0.7208,0.7028,0.3891
0.497,17.125,1.8785,0.476,0.65,0.7218,0.8913
0.4809,17.861,1.5682,1.093,0.9261,0.6927,0.1869
0.5074,16.625,1.7829,0.67,0.7338,0.8245,0.6483
0.4664,14.553,1.8688,0.798,0.8054,0.6333,0.2354
0.4894,14.509,1.7024,0.53,0.6609,0.8296,0.8581
0.455,18.393,1.6207,1.095,0.8994,0.6181,0.1457
0.4606,15.578,1.5348,0.805,0.7863,0.7464,0.2847
0.4503,16.507,1.5174,0.49,0.6397,0.6908,0.5207
0.4504,17.642,1.6383,1.084,0.9425,0.6988,0.1376
0.4638,15.699,1.7899,0.44,0.6177,0.7741,0.8124
