Phi,d50,sigma,Emix,Temp,Tau0
0.4708,8.3969,1.4497,1302832.9996,26.3598,15.3844
0.4739,11.9603,1.4061,8275283.027,27.2816,10.1043
0.4867,7.2368,1.5048,1373126.6999,27.4296,28.7622
0.4587,8.0935,1.4516,7415352.3181,28.6548,11.0728
0.4756,10.01,1.4497,7405968.6777,29.808,14.3775
0.4789,7.6056,1.4999,1338348.7878,26.6731,19.1959
0.4639,8.0895,1.4207,7909677.4204,29.1523,16.5839
0.4791,8.4676,1.4222,1356375.9379,27.4272,25.1418
0.4618,7.6811,1.4262,1464034.8291,25.1988,14.0195
0.4858,8.466,1.4527,1414563.3157,26.3214,24.8681
0.4765,9.5511,1.424,1376812.7892,26.2443,16.5292
0.4795,10.1565,1.4683,1429146.3274,25.4321,12.0035
0.4827,8.1489,1.4926,1511630.5675,26.8596,20.1892
0.4813,8.2502,1.4676,1337158.3865,27.2945,22.2494
0.4726,10.0048,1.425,7936845.5549,29.9485,14.8954
0.4497,7.2129,1.4002,7844879.7049,27.6588,12.9609
0.4787,9.8149,1.526,7230669.2987,29.9221,10.8552
0.4772,9.2969,1.5023,1316840.5502,27.7959,12.827
0.4817,9.2537,1.4571,1282111.7765,27.3383,19.0461
0.4594,7.866,1.4132,7210235.7879,29.9598,16.6444
0.4557,7.1888,1.4527,7770117.7077,27.3291,11.3469
0.4741,10.1651,1.4553,1296002.6127,26.2385,11.3394
0.4779,9.5194,1.458,1233583.177,27.6651,16.0564
0.4878,11.5328,1.4342,1374130.1651,27.3474,16.8706
0.4777,9.2969,1.4552,1419696.7169,26.7445,15.9368
0.4747,8.5785,1.4013,1552334.2397,27.553,23.7718
0.481,9.416,1.4478,1368172.441,25.92,17.0697
0.4694,8.2963,1.4278,1463964.4917,27.8474,18.8112
0.4763,7.635,1.407,1433358.0116,26.4984,28.5972
0.4805,8.8171,1.5019,1509542.7172,26.8484,15.0902
0.4856,7.0338,1.6162,1552323.5324,25.6265,12.6749
0.4771,7.4838,1.4353,7021249.1175,28.7354,27.6272
0.477,8.4054,1.4984,1432670.5314,27.5807,15.6515
0.4751,10.5959,1.4184,7269967.5343,29.9053,15.0358
0.4586,7.0795,1.4224,7630178.6036,28.0448,16.6919
0.4656,7.4956,1.4125,7318063.3424,27.1496,19.0339
0.4599,7.7695,1.4113,1416482.4213,25.8441,14.7091
0.4855,9.0743,1.4311,1389687.2699,25.9175,23.2336
0.4696,7.6253,1.4533,1499494.8088,27.7215,19.1651
0.4804,7.2374,1.5734,1374280.5582,25.492,12.8439
0.4713,9.4049,1.4615,8100624.2638,28.1921,11.7874
0.4798,8.8451,1.4633,7810464.8243,29.8897,19.681
0.4748,10.3223,1.4808,8235173.8218,29.6104,10.7634
0.4748,8.5527,1.4531,7476062.723,27.4328,16.2478
0.4687,7.8305,1.5004,1442240.9633,25.1141,10.8556
0.4754,8.7098,1.5339,7275212.6884,28.782,10.7811
0.4696,10.011,1.4343,7399104.9115,27.385,10.9956
0.4782,7.7067,1.5171,1501232.637,25.1388,14.5748
0.4629,7.0668,1.4961,1465103.0425,27.2462,12.6685
0.4706,8.5732,1.4087,8104916.37,27.9184,18.2724
0.4842,8.1563,1.4348,1365466.6427,26.231,27.6802
0.4524,8.052,1.4187,7601088.6311,28.1214,10.5739
0.4652,10.0439,1.409,7867155.7628,27.0003,10.4862
0.483,8.957,1.4456,1366163.7351,27.3529,22.5939
0.4855,10.2568,1.4765,1367215.6383,25.2798,13.7187
0.4712,7.0231,1.5,6956038.0559,29.8898,18.8268
0.4686,9.5131,1.4038,1460233.0314,26.1537,14.1578
0.4774,8.3914,1.5038,1392926.7494,25.5611,13.3826
0.4732,8.7488,1.4952,8228640.9586,27.5647,11.4472
0.4575,7.3332,1.4099,7625909.229,29.7857,17.9359
0.4482,7.1532,1.4175,7592408.6763,29.19,12.2719
0.482,7.0218,1.5117,1352051.1379,26.5103,23.2617
0.4756,7.0411,1.477,1356934.2015,26.9164,23.0337
0.4843,8.8463,1.41,1319605.2747,27.5239,29.2303
0.4656,7.3043,1.4786,7894900.2065,29.0857,15.172
0.4774,11.1794,1.4368,1417895.6801,26.1497,11.5315
0.4593,8.3644,1.4162,7670268.0075,27.5906,12.3601
0.4707,9.6898,1.4481,7717245.0983,29.3669,12.6886
0.468,7.6423,1.4754,7030455.0145,29.2311,15.7826
0.4711,10.8639,1.4042,7532717.51,29.1241,12.8794
0.4772,7.7937,1.4765,7710653.5837,29.5852,21.2344
0.4694,7.2617,1.5169,8244726.4301,29.3974,13.9684
0.4789,9.4049,1.4615,1265595.8234,25.6154,14.4604
0.4676,8.6616,1.4166,7062542.1355,27.9088,15.7446
0.4782,7.7113,1.48,7732539.9645,28.3252,20.4172
0.4712,9.5511,1.424,7054734.6702,29.2642,15.2825
0.4649,8.809,1.4273,8304740.5974,29.3062,13.9801
0.4815,7.2518,1.4316,1479512.0854,27.0468,34.3964
0.4846,10.975,1.4124,1400283.1841,25.484,16.3755
0.4657,7.7538,1.4142,1309784.4913,27.9619,20.6438
0.4807,7.4735,1.5694,1495782.0084,25.1686,12.2234
0.4721,8.0672,1.4486,1252650.6118,25.8821,17.003
0.4549,7.5562,1.4263,7524743.9371,29.5615,13.7163
0.4796,7.7135,1.4817,1443671.0896,25.6191,19.6128
0.4819,7.6728,1.4971,1438148.5564,25.4279,19.4126
0.4738,8.5732,1.4087,1299993.8055,25.5487,19.3446
0.4774,7.0401,1.5803,7700908.9304,29.1234,13.1587
0.4701,9.0864,1.4728,7536633.902,28.8069,11.8806
0.4749,12.1791,1.4093,1286563.187,27.7991,11.6249
0.477,8.1385,1.4897,7908608.9551,28.5738,16.8192
0.4689,7.3886,1.424,1394339.1542,25.362,19.9877
0.4718,9.2537,1.4571,7729623.3553,28.3466,12.896
0.4578,7.934,1.4078,7487687.2057,28.4944,14.5477
0.477,8.1431,1.4745,6991861.712,28.2282,18.2169
0.4599,7.0428,1.5144,7925592.7685,29.7255,10.4348
0.4708,8.9921,1.5089,7419876.2694,29.6018,10.4017
0.4841,10.4763,1.4794,1365058.1715,26.3291,13.3368
0.4773,9.2406,1.4121,7746128.5826,29.211,20.9166
0.4751,7.7176,1.4948,7183803.7331,29.4964,18.0874
0.4759,11.2932,1.4286,8000717.7194,27.2564,10.7944
0.4791,9.2257,1.5245,7766744.2599,28.3638,11.3527
0.478,8.7932,1.4155,7819585.5978,27.4409,20.7316
0.4742,8.4054,1.4984,7375553.6651,27.0009,12.2925
0.4849,12.6127,1.4153,1396694.1829,27.3787,14.1341
0.4792,9.0646,1.4825,1316379.056,27.078,15.5041
0.4705,8.7931,1.4226,1411086.2471,26.6261,16.5058
0.4529,7.4921,1.4081,8612801.2576,27.3692,12.4635
0.4791,7.1431,1.4399,1462403.5366,25.1259,27.2092
0.4692,7.5992,1.4664,7142107.9998,29.8889,18.3273
0.4798,7.614,1.561,7609135.0599,28.5049,13.7034
0.4774,8.7877,1.405,1355158.8634,26.9824,23.387
0.4757,9.3395,1.4847,1269486.213,26.4595,12.1981
0.4632,7.1454,1.4637,1338422.4788,27.7019,16.1925
0.4765,7.7597,1.4515,7152491.8562,27.2824,20.9877
0.484,9.1173,1.5364,1314602.2371,26.8527,13.1067
0.4789,9.6558,1.4715,8622242.8553,29.4214,14.7424
0.4611,8.1437,1.4689,7853842.2076,29.7189,11.3403
0.4802,7.175,1.4993,1394086.1171,26.7977,22.7997
0.4791,9.7672,1.4102,1310440.651,25.0771,16.9746
0.4769,10.1537,1.4838,7568573.5898,28.355,11.0533
0.4808,10.4607,1.4807,1486407.006,26.9508,12.3241
0.4832,7.9409,1.5292,1498033.7152,25.3826,15.7011
0.4752,8.6665,1.4341,7908662.1445,29.3002,19.8169
0.468,9.485,1.4163,1439765.6857,25.0469,11.9699
0.4714,10.6037,1.4615,7795579.0956,29.3025,10.0095
0.4715,8.3505,1.4199,1252597.5658,26.3237,18.8723
0.4739,9.6117,1.4808,7728597.9428,29.4491,12.017
0.4646,7.536,1.4918,1315703.7047,25.6004,10.9918
0.4644,7.713,1.4171,1428393.8754,27.5128,19.0219
0.4823,9.1274,1.4281,1359520.4071,26.7667,22.3411
0.4673,7.0795,1.4224,1393804.8193,25.9944,21.8341
0.4743,10.0176,1.4418,1415994.7019,26.6382,13.0536
0.478,10.7036,1.4531,7704178.6629,27.4465,11.5142
0.4581,8.3518,1.4073,7542201.5104,29.1317,13.7988
0.4728,9.145,1.4264,1432454.702,26.6024,16.1334
0.4699,10.4457,1.4282,1362500.5692,25.7511,10.4076
0.4681,9.1066,1.4418,1303237.4424,27.1478,13.1504
0.4859,7.3273,1.5434,1481400.3521,25.9546,19.5771
0.4613,8.85,1.4165,1507307.2113,26.2879,11.9066
0.4695,7.4291,1.4485,8194610.716,28.6756,19.6571
0.4838,7.3539,1.4894,1411938.2592,27.0568,26.6055
0.4728,7.3238,1.4935,1406098.1754,26.812,17.2897
0.48,8.4439,1.5069,1473084.9979,26.2823,15.0729
0.4876,7.1246,1.4716,1447288.9746,25.3443,31.4013
0.4621,7.1459,1.4365,7378506.5165,28.8912,18.0025
0.4754,10.323,1.4611,7114775.1802,29.5878,12.528
0.4772,10.5756,1.4235,1337242.7794,25.1168,12.7335
0.4529,8.1576,1.419,7554031.9342,29.8767,11.6289
0.4773,8.1297,1.4839,7281914.6177,29.7769,19.1368
0.4711,8.3664,1.4227,1452044.9859,27.691,19.9637
0.487,7.2031,1.6032,1352250.0323,26.3311,14.8698
0.4842,9.6339,1.5089,1292993.4692,27.6381,14.7325
0.4601,8.1069,1.4647,7759586.8184,29.603,11.2747
0.476,9.7214,1.427,1345841.1041,25.6088,14.7589
0.4622,8.5805,1.4093,7676961.3887,29.2125,14.9819
0.4753,9.3829,1.4183,1433491.1183,25.0388,15.4435
0.4746,8.8463,1.41,8246741.3922,29.2055,20.9672
0.4583,7.2607,1.4559,8008456.3916,27.7018,12.291
0.4814,9.2543,1.5284,1380016.8165,26.0303,11.3988
0.4523,9.108,1.4002,7483484.8688,29.3806,10.0169
0.4792,11.9603,1.4061,1378262.9235,25.8173,12.2582
0.4657,8.7361,1.4402,1399929.744,27.7845,13.8216
0.472,8.0679,1.4829,1252485.1338,25.7434,13.6555
0.4756,7.3539,1.4894,7576626.7925,29.0596,20.2981
0.4654,7.1295,1.481,1481032.9911,26.7106,14.7438
0.4682,8.0059,1.4251,8068817.3018,29.5064,19.5062
0.4623,8.5216,1.422,7860909.8075,29.5364,14.3632
0.4632,7.2553,1.4363,1313749.9546,27.9844,18.9979
0.4789,7.2039,1.488,7608604.2756,27.4899,21.7314
0.476,7.161,1.4082,1398348.954,26.1302,31.1693
0.4743,7.3385,1.4973,1454272.1056,27.4435,18.5607
0.4811,7.4838,1.4353,1416826.632,25.3287,27.5699
0.4816,11.0469,1.4107,1374490.5407,26.4473,15.892
0.4849,9.4508,1.4859,1482311.7054,26.111,15.9695
0.465,7.7255,1.4732,1351048.3624,26.1179,12.4656
0.4756,9.4972,1.4399,1417065.7555,26.8674,15.5509
0.479,8.3358,1.5301,7521842.938,28.0295,13.1557
0.4753,11.7728,1.4041,7319283.9521,27.2053,11.1411
0.4822,11.1601,1.4114,1368069.1848,26.2634,15.5783
0.4837,9.7889,1.4046,1461638.0012,26.7246,22.6925
0.4805,8.0708,1.5121,1290945.4811,27.9458,18.3227
0.4744,7.2163,1.54,1488454.0513,27.9534,15.1052
0.4749,7.2625,1.4508,1390360.5636,25.1223,21.5082
0.4818,9.1482,1.5374,1365247.1557,27.823,12.6993
0.463,9.2395,1.4582,8497685.0969,29.729,10.0651
0.4829,10.7036,1.4531,1430410.3432,27.0353,14.7804
0.4762,10.1188,1.406,7837093.8701,29.8005,17.9315
0.4762,8.5274,1.5046,7608978.7429,28.4609,13.5727
0.4832,8.7735,1.426,1262979.1143,27.7552,26.9662
0.477,7.0542,1.4036,1428237.6404,25.801,33.1108
0.4843,8.092,1.5362,1362679.4485,27.169,17.2449
0.4592,8.0239,1.469,7857268.5229,29.4295,10.6467
0.4778,9.3202,1.4986,1383484.2395,25.2905,11.1285
0.4767,7.6856,1.4444,7750985.8577,27.8368,23.0
0.4806,9.5577,1.4571,1316724.9295,27.5724,17.4845
0.4761,9.2513,1.4505,7658802.8804,27.1322,14.3784
0.4693,8.3842,1.4301,1445549.1683,27.4004,17.5774
0.4619,9.2021,1.4093,8230234.0524,28.4579,12.2056
0.4807,10.6798,1.4134,1363906.04,27.1282,17.0775
0.4532,8.2715,1.4083,1473411.2454,26.0507,10.4989
0.4795,8.533,1.4418,1374299.3585,27.1621,22.291
0.4557,8.085,1.4047,8307669.4338,28.882,13.3983
0.4729,11.5743,1.4396,7151120.2859,29.7056,10.3585
0.4791,10.011,1.4343,1286836.4333,25.4409,14.66
0.476,11.9789,1.4309,7426292.2379,28.7792,10.5932
0.4625,7.13,1.5283,7495588.9289,29.753,10.3287
0.4734,8.106,1.5432,6985450.5996,29.4316,11.2319
0.4735,7.6658,1.4645,1301260.4626,25.1066,16.9664
0.4624,7.2657,1.422,7232928.5997,27.8623,18.0375
0.4842,8.7654,1.4686,1376604.114,25.4415,18.9135
0.4695,8.9715,1.415,1437410.9762,27.207,16.624
0.4771,11.0017,1.416,7920067.4123,27.9712,13.2731
0.4873,8.0754,1.4892,1428795.8519,26.7433,24.438
0.4744,7.5719,1.5625,6940735.9463,29.1516,11.5463
0.4845,7.8211,1.4322,1356861.3116,25.4964,29.0991
0.4766,7.061,1.5593,7796867.6504,29.5072,15.0445
0.4826,7.2299,1.5442,1434585.8916,25.2557,16.6949
0.4781,8.962,1.4065,1320954.7923,26.3723,21.9388
0.4709,10.8219,1.4346,8472959.4609,29.0764,10.7323
0.4671,8.6482,1.424,7694700.8643,29.2516,16.0577
0.4649,7.1598,1.4141,1347039.8096,26.8538,21.8521
0.4806,8.6665,1.4341,1303105.6198,26.7386,22.7042
0.4773,7.036,1.5565,8123623.6003,27.1318,13.5526
0.4647,9.9253,1.4044,8380047.2579,29.455,12.5776
0.4819,8.2631,1.4901,1412592.5671,25.2475,17.2229
0.4729,9.809,1.4414,1417524.9995,25.1302,11.6046
0.4747,8.962,1.4065,8392672.8832,28.1094,19.4201
0.4695,11.6815,1.4041,7348411.3042,28.7177,10.3582
0.4701,10.1931,1.4079,1282469.0899,25.2699,11.8848
0.4547,7.1816,1.4429,7616264.6069,27.5305,11.866
0.4609,7.363,1.4305,7429976.6942,29.9463,17.9734
0.4707,7.6241,1.4589,7578811.1008,29.0202,18.919
0.4765,7.7942,1.4948,1444038.655,26.0313,16.3932
0.4635,7.6454,1.4472,8833354.7255,28.202,14.567
0.46,7.3206,1.459,1439076.7724,25.1236,11.6559
0.4595,7.3901,1.4299,7703303.7061,29.7422,16.7576
0.4717,9.5577,1.4571,7393572.384,28.3536,12.1367
0.4721,9.5307,1.4528,1277023.5014,27.2603,13.0911
0.4743,7.2019,1.4386,7084337.5528,29.5724,28.0229
0.4552,7.2553,1.4363,7878665.4987,28.9022,13.4849
0.4792,7.2736,1.4925,6973832.5831,28.5201,22.6209
0.4679,7.8697,1.5181,7596069.1844,29.5008,11.2753
0.4712,7.6753,1.4666,1314202.3136,25.5596,15.9627
0.4789,10.326,1.4999,8524768.0409,29.6043,11.1049
0.467,8.0679,1.4829,7788043.1346,27.3461,11.4119
0.4569,7.7581,1.471,7282991.297,29.4787,10.3665
0.4716,7.3634,1.4147,1259009.6057,27.8077,27.7016
0.4898,9.4236,1.4442,1426744.7287,25.0536,21.6944
0.4794,12.018,1.4034,8187366.4801,29.6093,14.0175
0.4833,7.7319,1.5723,1403860.8793,26.1453,13.4465
0.4838,7.7685,1.4864,1507393.4748,27.6053,25.1119
0.4564,7.111,1.4287,1442055.4856,26.4205,14.4729
0.4716,7.9547,1.4816,8064634.0566,28.3801,14.9919
0.4846,8.5658,1.5156,1358680.5183,27.473,17.9261
0.4847,9.267,1.506,1293438.2804,26.3976,15.0802
0.4527,7.4862,1.4358,7870011.3478,27.8663,10.7926
0.4666,7.3005,1.5149,1245717.2504,26.4995,11.5646
0.4797,10.7703,1.4803,7090232.3663,28.5244,11.2572
0.4758,8.466,1.4527,7780362.626,28.2711,18.0373
0.4616,8.0433,1.4292,7873954.8351,27.4405,13.2013
0.4596,7.418,1.4201,7751892.3243,29.3902,17.3169
0.4608,7.4973,1.4423,8130085.9102,29.8998,15.8327
0.4637,8.8933,1.4113,7343715.8748,29.2749,14.61
0.4749,9.5341,1.4559,1506952.1496,25.4973,12.4722
0.4834,7.2937,1.5391,1466166.5525,27.3071,20.3123
0.474,7.5992,1.4664,1455135.799,27.0346,20.0023
0.4685,8.8933,1.4113,1328829.9533,27.1658,16.6813
0.4767,8.7395,1.4953,1340093.142,25.8611,12.9553
0.4751,8.3707,1.5235,1502061.806,26.8782,11.9608
0.4759,10.0406,1.4502,1407412.5044,27.9934,14.3491
0.4753,8.2386,1.4636,1438185.7614,27.732,18.9889
0.4736,9.4135,1.4405,8072443.395,27.4506,13.672
0.4777,7.0358,1.5719,7476049.5455,27.9349,13.2239
0.4833,9.7266,1.4269,1466281.0392,27.5931,21.5822
0.4795,12.472,1.446,6946075.5767,29.7309,10.8136
0.4688,9.5341,1.4559,7598721.6311,28.914,11.4346
0.4864,11.4771,1.417,1448487.8789,25.7645,15.836
0.4802,7.5377,1.5384,1364876.3782,26.7561,16.2778
0.4655,7.5063,1.4805,8456869.2583,28.147,13.2242
0.4845,8.0196,1.4481,1459074.4985,25.9758,26.4979
0.4683,8.0363,1.4645,1275220.086,26.0,13.7245
0.4662,8.1239,1.4103,1476787.2155,26.5583,17.7523
0.4739,7.5367,1.4214,1463782.4595,27.4869,26.8739
0.4691,10.3821,1.4185,8054591.7737,29.0418,12.0716
0.4741,9.7038,1.4398,8044481.1594,29.349,14.811
0.466,7.2333,1.4483,7745635.5877,28.875,18.7526
0.4714,7.7942,1.4948,7559505.1526,29.1446,15.064
0.4813,7.9687,1.4669,1384127.2784,25.0763,20.3047
0.4779,9.288,1.4327,1382277.9016,27.7861,19.4746
0.4675,10.6332,1.4121,7902521.7146,27.3877,10.1946
0.483,8.4638,1.4431,1518174.3159,27.7191,26.1282
0.4782,11.6377,1.4647,8226282.579,29.426,10.3393
0.4785,7.3255,1.4064,1340900.5268,26.1022,32.5447
0.4768,7.6899,1.4995,1474294.8732,25.6767,16.1341
0.4776,11.3473,1.4024,8003754.5232,27.0552,12.722
0.4732,9.4718,1.5068,7323306.3221,29.4529,10.3363
0.4791,11.4771,1.417,7282295.3916,28.6114,13.6156
0.4664,7.2085,1.491,8110413.5876,27.0776,12.9796
0.4711,9.7335,1.4403,7461618.2412,28.8279,12.9543
0.455,8.8621,1.4017,7865062.9325,29.3547,11.4834
0.4678,7.3423,1.4381,7518637.9835,27.1858,18.5101
0.4745,8.8817,1.5117,6619428.0059,27.2178,10.5443
0.4874,8.8679,1.4216,1422964.329,27.6701,30.6334
0.4765,7.9424,1.4576,1322119.6687,25.6666,19.1005
0.4757,8.5658,1.5156,7628419.1422,29.4223,13.0941
0.4698,8.0895,1.4207,1516295.4023,27.7858,20.7897
0.4602,8.2367,1.4414,8220951.326,27.6085,11.1964
0.4716,9.0555,1.4439,1365606.1665,25.8362,13.5444
0.4731,7.0539,1.5872,7276064.1194,29.7457,10.7701
0.4667,7.782,1.4574,1293017.5176,25.1147,13.4525
0.4751,11.1215,1.4023,1370798.9685,26.1064,12.9314
0.4619,9.4911,1.4247,7596511.2912,27.868,10.1812
0.4883,8.6812,1.4438,1444424.5816,27.1836,28.4855
0.4772,9.3578,1.4861,8073614.178,27.3487,12.0604
0.479,9.1451,1.404,1354002.7177,25.8953,21.1955
0.4837,9.2113,1.5328,1344056.5271,26.2173,12.4378
0.4719,7.1903,1.4584,6819916.1971,27.2631,20.1473
0.4772,9.7714,1.463,1229607.0219,25.8187,12.7308
0.4775,10.6015,1.4462,1322726.8334,26.6768,12.7349
0.4799,7.3148,1.5554,8531959.7451,28.8145,15.5689
0.4858,11.0146,1.4068,1438435.5185,27.2324,19.6713
0.4808,7.9823,1.5318,1339855.2647,27.8012,16.6169
0.4738,9.3202,1.4986,7717178.4798,29.5262,11.4908
0.486,9.451,1.4872,1434502.3913,26.5693,17.051
0.472,9.9422,1.4293,7297667.1841,29.4866,14.2252
0.477,10.4414,1.4766,8222832.3775,29.4473,11.5674
0.4701,9.8206,1.4067,1391619.1582,26.6543,14.2535
0.4839,11.6237,1.4162,1423742.659,25.3843,13.8768
0.4774,10.2364,1.428,7370343.0085,29.5358,16.1444
0.4626,8.1511,1.4162,1557720.232,27.0824,15.5549
0.4805,9.0411,1.4769,1420091.8619,25.2014,14.6523
0.4732,7.2574,1.54,1369866.6257,27.7312,13.9901
0.4648,7.9664,1.4255,8097932.2707,28.7805,16.7496
0.4654,9.5236,1.4308,7401162.9943,28.5749,11.5644
0.4763,7.6559,1.5252,1415606.9541,25.8924,13.8184
0.4657,9.8988,1.4052,7491454.0339,29.411,13.14
0.4735,7.7135,1.4817,7195516.4072,27.3223,16.1229
0.4667,7.9309,1.5031,8176137.4131,28.9013,11.2397
0.4618,7.3608,1.4306,7135279.0683,28.6497,17.219
0.4568,7.6811,1.4262,8177818.4257,29.7849,14.3127
0.4777,10.276,1.4599,1329986.8218,26.2875,12.3137
0.4812,8.6124,1.471,1548823.7462,26.8929,19.3776
0.479,8.1932,1.4947,7603255.8029,28.3856,17.2099
0.488,9.5402,1.4436,1397648.1986,25.9556,21.4456
0.4722,8.1455,1.46,7887444.9655,29.6813,17.9984
0.463,8.3842,1.4301,7645036.0658,27.1022,12.4702
0.4722,10.7487,1.4257,8174232.2777,28.471,11.5722
0.484,12.1503,1.4051,1421305.5964,25.9427,14.0145
0.46,7.714,1.4428,1442880.8845,25.6393,12.1365
0.475,9.3101,1.4021,8287024.385,29.9845,20.8393
0.4682,7.0542,1.4036,7863741.5851,29.0269,27.5257
0.4718,7.3043,1.4786,1355414.3144,25.7154,16.9666
0.4773,9.3563,1.4428,1362704.8165,26.6398,16.4666
0.4699,9.0921,1.4506,8116947.2231,28.0012,12.6258
0.4752,8.3704,1.5581,6883645.1063,29.0143,10.0046
0.4627,8.4199,1.4515,8066513.5143,28.68,11.805
0.4829,7.7937,1.4765,1427641.611,27.8067,25.9343
0.4579,7.5941,1.4006,1518263.3093,25.5162,14.9077
0.4794,9.0818,1.4788,1478450.6085,26.0063,14.704
0.4743,7.5561,1.4354,1428075.4678,27.814,25.6754
0.4759,7.4746,1.4785,1456484.4871,26.0483,19.2358
0.4768,8.0296,1.5277,7636752.8448,28.7514,13.7952
0.4681,8.2109,1.4242,7455552.6828,28.9509,18.1195
0.4778,10.4689,1.4534,7631678.9284,29.2547,13.4059
0.4775,8.8129,1.5347,8006511.314,27.6342,10.4394
0.4715,10.5129,1.4538,7723336.2883,28.6611,10.306
0.4641,10.0271,1.4128,6745217.6443,29.1419,11.5879
0.4709,10.0524,1.425,1419108.0847,25.6854,11.7843
0.4586,7.6292,1.4655,7989825.0566,27.133,10.1838
0.4558,7.1897,1.411,7628128.1807,28.8802,16.5109
0.4871,7.5569,1.5897,1435470.7075,27.8777,16.4933
0.4723,8.904,1.4701,7581996.2816,28.1423,13.0118
0.4844,10.1188,1.406,1340753.9745,25.8973,20.3432
0.4758,8.6942,1.4474,7863389.5906,27.2148,16.4026
0.4789,12.9118,1.4,8351245.1361,29.0339,11.7024
0.4786,10.2912,1.4655,1465241.3909,25.6575,11.6992
0.4791,10.7914,1.4266,1448309.5828,25.9081,13.5853
0.4748,11.131,1.4508,7508872.0008,29.8671,11.2676
0.48,8.7054,1.5215,7404888.3407,27.5514,12.8055
0.4703,7.0259,1.4484,7728438.3973,29.2143,23.6026
0.4609,7.8131,1.4613,7966174.5607,27.4533,11.1522
0.4793,9.7276,1.4039,1247786.6,27.1497,20.7251
0.4699,11.3335,1.4117,7558558.9073,29.2235,11.0136
0.4781,8.095,1.4384,1388062.5776,27.8582,25.1776
0.4834,8.278,1.5469,1341294.5555,26.4953,14.2372
0.4806,9.9422,1.4293,1293604.7641,25.1848,15.7146
0.4859,11.2556,1.4647,1339104.4701,25.9271,12.8849
0.4738,9.5491,1.4663,1457903.8045,25.5225,11.2745
0.4886,7.3148,1.5554,1500306.3853,25.0742,18.927
0.4622,7.9162,1.4872,7941324.8384,28.1986,10.0774
0.4865,7.391,1.4779,1392887.8097,27.3326,31.4425
0.4802,8.7006,1.5161,1462419.0393,27.0637,14.2909
0.4746,7.1289,1.5187,1318210.5354,25.0947,14.6912
0.4593,8.958,1.4344,7626112.8919,28.3932,10.141
0.4504,7.1568,1.434,7780306.9248,29.5909,12.1503
0.4793,7.8773,1.4459,7377927.0994,28.2244,24.4167
0.4784,8.2988,1.5424,8571131.8404,28.8588,12.4493
0.4615,8.2931,1.4137,1537321.0669,26.2456,13.832
0.4576,7.1262,1.4452,1431208.745,25.7575,12.8828
0.4779,8.3901,1.408,1291138.3909,27.5049,26.679
0.4776,8.7404,1.4032,8059001.7206,29.2429,24.5509
0.4775,7.1688,1.5688,7545409.6005,28.177,13.0718
0.4772,8.0053,1.4468,1523648.7939,26.3852,21.4797
0.4803,9.9559,1.4118,1535692.602,25.5566,17.4049
0.4786,7.1033,1.4479,8205796.7712,27.7622,27.7915
0.4732,7.3423,1.4381,1355579.4192,25.0779,21.2414
0.4798,9.9393,1.493,7645820.9473,29.1902,12.7449
0.4744,7.5377,1.5384,7691367.7226,27.4194,12.2158
0.4796,9.5402,1.4436,7388158.2254,27.7032,16.4627
0.4541,7.6667,1.4548,7030764.6315,29.2408,10.5099
0.4586,8.2779,1.4202,1293887.7835,25.8367,11.7206
0.4675,9.4911,1.4247,1398338.2416,25.9885,12.0445
0.4793,7.2481,1.5152,1438938.0883,27.7963,21.0522
0.4726,7.4291,1.4485,1459208.8001,27.1376,22.2197
0.4686,7.0724,1.4614,1409438.402,27.3755,20.0495
0.4789,10.2966,1.4644,1368946.7103,25.1668,11.4373
0.4741,8.6548,1.5029,8758122.9971,27.3008,11.2307
0.4616,7.2638,1.4574,6789010.2836,28.2801,14.611
0.4759,7.9547,1.4816,1315523.8757,26.8908,17.8043
0.4815,9.4033,1.4273,1450305.1203,25.1226,18.1669
0.4742,8.621,1.5239,8084789.1254,27.4956,10.1822
0.482,11.2932,1.4286,1480551.4271,26.986,14.5626
0.4615,8.4157,1.4457,7749546.5207,29.2925,12.2491
0.4845,7.4066,1.4198,1481745.376,26.2218,36.3857
0.466,8.1956,1.4308,1368384.7033,26.2312,15.0657
0.4821,7.2019,1.4386,1389490.6459,26.5002,33.0515
0.4774,7.3677,1.5062,8164488.327,28.2392,18.4254
0.4767,10.7092,1.4455,8162385.1915,29.9115,13.2863
0.4715,8.2109,1.4242,1316867.1855,27.6035,20.7824
0.4761,11.3515,1.4474,8538647.3266,29.2718,10.9868
0.4809,7.3359,1.5696,1332591.726,26.4403,14.0661
0.4793,12.1204,1.414,1451592.8242,27.3347,12.8002
0.4764,8.3365,1.5585,7840453.2901,29.3658,10.634
0.4781,8.0196,1.4481,7256596.9572,28.169,22.322
0.4593,8.085,1.4047,1374681.323,26.114,14.1025
0.4845,10.3223,1.4808,1476177.2906,26.155,13.6275
0.4451,7.188,1.4256,7709643.7732,29.3378,10.1803
0.4775,8.1563,1.4348,8349292.5783,28.9918,23.4493
0.4766,10.0457,1.4088,1372778.8249,25.5438,15.4019
0.477,7.3813,1.4033,1321668.2736,25.8052,30.4005
0.4791,7.5466,1.5674,1349447.6904,27.9589,13.8899
0.478,7.8211,1.4322,7597848.2904,28.4612,25.7893
0.4741,8.8171,1.5019,7954735.1248,27.6433,11.2715
0.4724,7.7948,1.4412,8164581.7216,29.8162,22.0436
0.4786,7.0114,1.4729,1446777.6198,26.2512,25.2143
